blockGroup,totalPopulation_MOE,femaleUnder5_MOE,female5to9_MOE,maleUnder5_MOE,male5to9_MOE,totalUnder5_MOE,totalUnder10_MOE,totalPopulationBG,pAllChildrenUnder5BG,pAllChildrenUnder10BG,totalChildrenUnder5BG,totalChildrenUnder10BG,pAllChildrenUnder5BG_MOE,pAllChildrenUnder5BG_MOE2,pAllChildrenUnder10BG_MOE,pAllChildrenUnder10BG_MOE2
171118703013,539,56,37,97,21,112.0044641967453,119.81235328629515,1273,0.10133542812254517,0.13197172034564023,129,168,0.0768136940819104,0.09788899317614641,0.07573547439531984,0.10945581281101273
171118703021,457,36,106,34,70,49.51767361255979,136.3378157372341,1339,0.04630321135175504,0.1896938013442868,62,254,0.03343437762881482,0.040216212852998375,0.0785866512971768,0.12066075270196147
171118703022,440,41,66,23,55,47.01063709417264,97.93365100924197,1524,0.045931758530183726,0.14829396325459318,70,226,0.02785088705060439,0.03357659083600889,0.04792058646189014,0.07721755355928824
171118703023,460,17,78,44,48,47.16990566028302,103.01941564578979,1585,0.0416403785488959,0.14637223974763408,66,232.00000000000003,0.027196031949698465,0.03212030514497193,0.049193175596755866,0.0776473789258064
171118704021,365,28,7,66,45,71.69379331573968,84.9352694703443,1713,0.044366608289550497,0.07355516637478109,76,126,0.04077114152315081,0.04290713887764313,0.04704052672887687,0.05200085775864657
171118704022,394,68,43,61,15,91.35097153287424,102.0735029280371,1731,0.058925476603119586,0.08203350664355864,102,142,0.05104072848445132,0.05445120648893578,0.0559336655041537,0.06185354309827846
171118704023,450,63,80,81,22,102.61578825892242,131.96211577570284,2617,0.07222009935040122,0.12342376767290791,189,323,0.0371927816623818,0.04113074360401352,0.04574121765676741,0.054709175090081275
171118704031,411,70,103,85,20,110.11357772772621,152.0986521965267,1897,0.08908803373748023,0.1665788086452293,169,316,0.05474307924874934,0.061171154558579396,0.07159652783142532,0.08792682923944325
171118704032,467,24,51,116,161,118.45674315968678,206.2862089428181,2414,0.06048053024026512,0.152029826014913,146,366.99999999999994,0.047655437160036895,0.05044633258184119,0.08023342565113534,0.09037369891919957
171118704041,414,25,64,46,36,52.354560450833695,90.18314698434514,2073,0.01881331403762663,0.06994693680656054,39,145,0.024974414465753398,0.025533404503980305,0.04119992729253022,0.04569144206590924
171118704042,362,38,39,68,47,77.89736837660179,98.98484732523458,1700,0.06588235294117648,0.1111764705882353,112.00000000000001,189,0.04362154620816224,0.04792148437691257,0.0531963424401343,0.06285516675948133
171118705011,587,42,96,84,48,93.91485505499116,142.61837188805654,2627,0.048344118766653975,0.1100114198705748,126.99999999999999,289,0.034078719763919074,0.037346276395082874,0.04840529980602405,0.05959542446372332
