blockNum,medianAge,meanAge,nBlocks,minAge,maxAge,pOld
170311003001033,97,98.15384615384616,13,70,142,1
170311003002000,96,87.25,56,15,142,0.9107142857142857
170311003002001,93,80.25925925925925,27,53,111,1
170311003002002,65,65.85714285714286,7,16,94,0.8571428571428571
170311003002003,84,74,12,16,93,0.9166666666666666
170311003002004,44,49.18181818181818,22,44,57,1
170311003002005,52,55.333333333333336,24,48,71,1
170311003002006,62,66.06666666666666,15,58,83,1
170311003002007,44,53.725,40,44,91,1
170311003002008,49,55.09090909090909,44,49,91,1
170311003002009,94,82.58823529411765,17,44,100,1
170311003002010,63,66.54761904761905,42,60,91,1
170311003002011,63,62.42857142857143,7,60,63,1
170311003003001,90,80.22222222222223,27,16,142,0.9629629629629629
170311003003002,110,107.23076923076923,13,36,152,0.9230769230769231
170311003003003,110.5,105.92857142857143,28,65,152,1
170311003003004,96,88.81818181818181,11,14,152,0.8181818181818182
170311003003005,124.5,122.33333333333333,6,109,137,1
170311003003006,122,106,6,63,129,1
170311003003007,105,106,8,90,132,1
170311003003008,106.5,105.9,10,57,140,1
170311003003009,95,91.66666666666667,9,70,127,1
170311003003010,109,104.42857142857143,7,60,152,1
170311003003011,107,106,13,93,128,1
170311003003012,74,91.5,6,61,142,1
170311003003013,98,90.875,8,44,117,1
170311003003014,95,90.6,10,70,101,1
170311003003015,97,90.125,8,54,100,1
170311003003016,102,100.71428571428571,7,67,152,1
170311003003017,71,70.625,8,15,127,0.75
170311003003018,71.5,75,8,15,146,0.875
170311003003019,95,86.9,10,44,104,1
170311003003020,81,99.66666666666667,3,79,139,1
170311003004003,85,97.84615384615384,13,63,152,1
170311003004004,94,84.78571428571429,14,48,134,1
170311003004005,95.5,95.71428571428571,14,68,137,1
170311003004006,65,72.28571428571429,14,49,142,1
170311003004007,104,98.42857142857143,7,53,132,1
170311003004008,98,97.42857142857143,7,53,151,1
170311003004010,112,114.38461538461539,13,96,140,1
170311003004011,108,97.33333333333333,6,62,127,1
170311003004012,105,95.21428571428571,14,16,155,0.7857142857142857
170311003004013,110,107.84615384615384,13,72,138,1
170311003004014,102.5,99.28571428571429,14,49,125,1
170311003004015,98,95,17,51,112,1
170311003004016,102,92,9,58,113,1
170311003004017,102,93.72727272727273,11,16,132,0.9090909090909091
170311003004019,104,103.83333333333333,24,63,132,1
170311003004020,97,97.6,5,94,102,1
170311003004022,50,50,4,34,66,0.5
170311003004023,103,100.9090909090909,22,14,142,0.9545454545454546
170311003004024,93,94.25,4,69,122,1
170311003004025,111,91.25,8,16,142,0.75
170311003004026,101,96.1875,32,36,132,0.96875
170311003005000,79,79,13,79,79,1
170311003005001,79,79,13,79,79,1
170311003005002,79,77.84615384615384,13,74,79,1
170311003005003,68,68.28571428571429,7,64,78,1
170311003005004,67,65.5909090909091,22,52,74,1
170311003005005,67,71.6,15,64,99,1
170311003005006,67,65.76,25,52,99,1
170311003005007,70,78.5909090909091,22,70,95,1
170311003005008,59.5,76.75,4,51,137,1
170311003005009,63,64.16666666666667,6,63,67,1
170311003005010,64,64.66666666666667,6,64,66,1
170311003005011,65.5,64.6875,16,58,68,1
170311003005012,67,65.6,15,59,69,1
170311003005013,67,66.6,15,58,69,1
170311003005014,66,65.3529411764706,17,62,67,1
170311003005016,66,65.71428571428571,7,62,68,1
170311003005017,71,78.26086956521739,23,61,97,1
170311003005018,92.5,86,22,60,100,1
170311003005019,61,66.0952380952381,21,23,97,0.9523809523809523
170311003005020,67,67.83333333333333,24,57,117,1
170311003005021,71,76.3157894736842,19,44,127,1
170311003005022,66,78.20689655172414,29,50,133,1
170311003006000,96,85.63636363636364,22,36,105,0.9545454545454546
170311003006001,80,80.375,8,71,95,1
170311003006002,71,75.57142857142857,14,69,102,1
170311003006003,62.5,68.375,8,52,92,1
170311003006004,82,79.44444444444444,9,62,90,1
170311003006005,72.5,75.75,12,51,92,1
170311003006006,66,66.80952380952381,21,65,70,1
170311003006008,71,70.5625,16,67,71,1
170311003006009,69,81.03448275862068,29,58,131,1
170311003006010,97,97,28,44,137,1
170311003006011,92,84.1923076923077,26,56,129,1
170311004001000,67,65.70588235294117,17,56,71,1
170311004001001,68,66.29629629629629,27,25,87,0.9629629629629629
170311004001002,77,73.51351351351352,37,65,80,1
170311004001003,69,71,15,57,97,1
170311004001004,67.5,64.85714285714286,14,15,90,0.9285714285714286
170311004001005,71,72.95833333333333,72,25,134,0.9861111111111112
170311004001006,71,68.2,15,53,79,1
170311004001007,70,66.21428571428571,14,15,73,0.9285714285714286
170311004001008,70,69.6875,16,67,71,1
170311004001009,71,69.86666666666666,15,60,72,1
170311004001010,72,70.6923076923077,13,64,73,1
170311004001011,70,70.14814814814815,27,56,78,1
170311004001012,70,70,14,67,73,1
170311004001013,68,67.96,50,54,120,1
170311004002000,76,75,13,67,76,1
170311004002001,75,75.275,40,70,76,1
170311004002002,75,73.87096774193549,31,64,76,1
170311004002003,73,72.67567567567568,37,69,74,1
170311004002004,72,71.93103448275862,29,68,73,1
170311004002005,68,69.02816901408451,71,63,75,1
170311004002006,74,72.95,20,65,74,1
170311004002007,76,80.4375,16,61,97,1
170311004002008,67,73.09756097560975,41,51,109,1
170311004002009,66,67.10344827586206,29,66,69,1
170311004003000,68,68,1,68,68,1
170311004003001,67,66.58333333333333,24,60,70,1
170311004003002,36,50.76923076923077,13,36,70,0.46153846153846156
170311004003003,66,65.56363636363636,55,65,66,1
170311004003004,79,78.8125,16,60,82,1
170311004003005,79,79.375,16,74,82,1
170311004003006,82,80.16666666666667,18,66,82,1
170311004003007,72,72,8,72,72,1
170311004003008,66,65.82222222222222,45,65,67,1
170311004003009,78,73.7,20,15,82,0.95
170311004003010,78,77.17142857142858,35,66,109,1
170311004003011,67,69.51612903225806,31,52,77,1
170311004003013,72,71.55555555555556,9,71,72,1
170311004003014,72,72,14,72,72,1
170311004003015,69,67.96666666666667,30,56,70,1
170311004003016,69,68.42424242424242,33,67,69,1
170311004003017,71,70.64516129032258,31,66,72,1
170311004003018,71,70.75862068965517,29,66,74,1
170311004003019,64,58.36585365853659,41,16,74,0.6829268292682927
170311004003020,74,73.75,20,71,76,1
170311004003021,74,74.66666666666667,18,72,80,1
170311005001003,57,60.94736842105263,19,53,97,1
170311005001004,66,65.9,40,57,75,1
170311005001007,66,65.46511627906976,43,24,76,0.9767441860465116
170311005001008,66,68.4074074074074,27,63,74,1
170311005001009,71,69.9,50,15,81,0.96
170311005001010,70,70.03333333333333,30,67,71,1
170311005001011,73,72.3,30,66,75,1
170311005001012,75,74.74285714285715,35,68,76,1
170311005001013,76,75.80952380952381,21,69,77,1
170311005002000,77,76.71428571428571,14,75,77,1
170311005002001,77,77,5,77,77,1
170311005002002,57,61.214285714285715,28,48,77,1
170311005002003,76,75.1,20,70,76,1
170311005002004,77,77,2,77,77,1
170311005002005,76,68.56756756756756,37,16,76,0.8918918918918919
170311005002006,70,69.375,8,68,70,1
170311005002007,78,78,15,78,78,1
170311005002008,78,78,15,78,78,1
170311005002009,79,76.6,15,63,79,1
170311005002010,79,74.66666666666667,12,60,81,1
170311005002011,72,74.6923076923077,13,69,81,1
170311005002012,79,77.72727272727273,11,67,81,1
170311005002013,79,79.54545454545455,11,79,81,1
170311005002014,69,69,6,69,69,1
170311005002015,68,72.83333333333333,6,64,102,1
170311005003000,75,69.8955223880597,67,15,142,0.9552238805970149
170311005003001,78,77.06666666666666,15,69,79,1
170311005003002,75,72.66666666666667,15,43,76,1
170311005003003,78,76.53333333333333,15,68,79,1
170311005003004,78,77.4,15,69,78,1
170311005003005,66,66.88888888888889,18,50,82,1
170311005003006,75,77.66666666666667,12,50,96,1
170311005003007,68.5,71.75,12,65,97,1
170311005003008,68,70.85714285714286,7,56,83,1
170311005003009,80.5,78.07142857142857,14,69,82,1
170311005003010,81,81,5,80,82,1
170311005003011,73,78.16666666666667,12,53,96,1
170311005003012,68,68.5,12,49,94,1
170311005003013,80,79.21428571428571,14,73,82,1
170311005003014,80,77.42857142857143,7,69,82,1
170311005003015,79,77.6,5,70,82,1
170311005003016,74,75.84615384615384,13,53,97,1
170311005003017,66.5,68,12,54,91,1
170311005003018,75,73.58333333333333,12,53,93,1
170311005003019,77,76.83333333333333,12,69,97,1
170311005003020,76,71.61538461538461,13,54,84,1
170311005003021,79,73.85714285714286,7,62,80,1
170311005003022,66,66.91666666666667,12,43,97,1
170311005003023,69,67.81818181818181,11,16,86,0.9090909090909091
170311005004003,72.5,75.625,8,63,92,1
170311005004004,68,72.76923076923077,13,48,100,1
170311005004005,72,80.63636363636364,11,53,127,1
170311005004006,75,77.83333333333333,12,64,97,1
170311005004007,73,77.94117647058823,17,62,99,1
170311005004009,75,74.71428571428571,7,74,75,1
170311005004010,70,72,18,44,97,1
170311005004011,76,73,3,67,76,1
170311005004012,71,72.71428571428571,7,66,84,1
170311005004013,75,74.57142857142857,7,58,92,1
170311005004014,76,75.14285714285714,7,70,76,1
170311005004015,76,76,4,76,76,1
170311005004016,73,71,14,49,98,1
170311005004017,75.5,79.21428571428571,14,44,96,1
170311005004018,76,73.33333333333333,6,58,82,1
170311005004019,70,63.42857142857143,7,16,75,0.8571428571428571
170311005004020,75,72.85714285714286,7,66,76,1
170311005004021,76,80.66666666666667,6,70,110,1
170311005004022,66,70.33333333333333,15,16,96,0.9333333333333333
170311005004023,67,69.13333333333334,15,15,98,0.9333333333333333
170311005004024,75.5,79.3,10,68,115,1
170311005004025,66,65.14285714285714,7,54,76,1
170311005004026,76,76,6,76,76,1
170311005004027,76,76,9,76,76,1
170311005004028,88,79.4,15,37,102,1
170311005004029,72,77.6875,16,63,97,1
170311005004030,76,69,9,16,76,0.8888888888888888
170311005004031,76,66,6,16,76,0.8333333333333334
170311005004032,76,78.18181818181819,11,72,94,1
170311005004033,70,71.66666666666667,15,54,96,1
170311005004034,75,76.42857142857143,14,68,94,1
170311005004035,76,71.2,10,43,76,1
170311005004036,76,76,6,76,76,1
170311005004037,77,77,7,77,77,1
170311005004038,94,78.61538461538461,13,17,142,0.9230769230769231
170311005004039,85.5,82.57142857142857,14,65,98,1
170311005004040,77,77,7,77,77,1
170311005004041,72,79.15384615384616,13,49,122,1
170311005004042,77,73.5,8,49,77,1
