Address,City,State,Zip,Date Sampled,1st Draw,2-3 Minute,5 Minute,sequential,Address2,cxy_lon,cxy_lat,cxy_state_id,cxy_county_id,cxy_tract_id,cxy_block_id
3430 N LAKE SHORE DR,Chicago,IL,,2018-08-14T00:00:00Z,< 1,< 1,< 1,FALSE,3449 N LAKE SHORE DR,NA,NA,NA,NA,NA,NA
3430 N LAKE SHORE DR,Chicago,IL,,2018-08-20T00:00:00Z,< 1,< 1,< 1,FALSE,3449 N LAKE SHORE DR,NA,NA,NA,NA,NA,NA
3430 W LE MOYNE ST,Chicago,IL,,2019-03-25T00:00:00Z,4,2.6,2.2000000000000002,FALSE,3449 W LE MOYNE ST,NA,NA,NA,NA,NA,NA
3430 W LE MOYNE ST,Chicago,IL,,2021-08-05T12:18:00Z,3.6,4.0999999999999996,2.1,FALSE,3449 W LE MOYNE ST,NA,NA,NA,NA,NA,NA
3430 W MCLEAN AVE,Chicago,IL,,2018-12-26T00:00:00Z,2.4,4.8,3.7,FALSE,3449 W MCLEAN AVE,NA,NA,NA,NA,NA,NA
3530 N LAKE SHORE DR,Chicago,IL,,2017-01-10T00:00:00Z,< 1,< 1,< 1,FALSE,3549 N LAKE SHORE DR,NA,NA,NA,NA,NA,NA
3530 N LAKE SHORE DR,Chicago,IL,,2018-08-13T00:00:00Z,< 1,< 1,< 1,FALSE,3549 N LAKE SHORE DR,NA,NA,NA,NA,NA,NA
3530 N LAKE SHORE DR,Chicago,IL,,2020-02-16T00:00:00Z,2.6,< 1,< 1,FALSE,3549 N LAKE SHORE DR,NA,NA,NA,NA,NA,NA
3530 N LAKE SHORE DR,Chicago,IL,,2020-12-01T00:00:00Z,< 1,< 1,< 1,FALSE,3549 N LAKE SHORE DR,NA,NA,NA,NA,NA,NA
3530 N LAKE SHORE DR,Chicago,IL,,2021-01-26T00:00:00Z,< 1,< 1,< 1,FALSE,3549 N LAKE SHORE DR,NA,NA,NA,NA,NA,NA
3530 S MORGAN ST,Chicago,IL,,2017-01-23T00:00:00Z,< 1,< 1,< 1,FALSE,3549 S MORGAN ST,-87.65085804199998,41.829461458000026,17,31,839900,2009
3530 S MORGAN ST,Chicago,IL,,2020-09-29T00:00:00Z,< 1,< 1,< 1,FALSE,3549 S MORGAN ST,-87.65085804199998,41.829461458000026,17,31,839900,2009
3530 W LE MOYNE ST,Chicago,IL,,2021-04-14T00:00:00Z,3,3.1,1.4,FALSE,3549 W LE MOYNE ST,NA,NA,NA,NA,NA,NA
3630 N LAKE SHORE DR,Chicago,IL,,2018-08-12T00:00:00Z,< 1,< 1,< 1,FALSE,3649 N LAKE SHORE DR,NA,NA,NA,NA,NA,NA
3630 N LAKE SHORE DR,Chicago,IL,,2018-09-15T00:00:00Z,< 1,< 1,< 1,FALSE,3649 N LAKE SHORE DR,NA,NA,NA,NA,NA,NA
3630 N LAKE SHORE DR,Chicago,IL,,2018-09-29T00:00:00Z,< 1,< 1,< 1,FALSE,3649 N LAKE SHORE DR,NA,NA,NA,NA,NA,NA
