blockGroup,totalPopulation_MOE,femaleUnder5_MOE,female5to9_MOE,maleUnder5_MOE,male5to9_MOE,totalUnder5_MOE,totalUnder10_MOE
171219516001,195,12,32,12,24,16.97056274847714,43.45112196480086
171219516002,238,18,7,10,13,20.591260281974,25.337718918639855
171219516003,203,11,15,20,15,22.825424421026653,31.160872901765767
171219516004,186,35,63,17,14,38.91015291668744,75.35914012248281
171219517001,237,13,57,18,32,22.20360331117452,69.03622237637282
171219517002,164,21,17,6,18,21.840329667841555,33.015148038438355
171219517003,127,10,23,21,22,23.259406699226016,39.42080668885405
171219518001,100,12,8,12,11,16.97056274847714,21.748563170931547
171219518002,146,19,12,7,22,20.248456731316587,32.218007387174026
171219518003,287,33,15,25,33,41.400483088968905,55.02726596879042
171219519001,238,25,23,23,41,33.97057550292606,58
171219519002,219,8,19,26,24,27.202941017470888,40.95119045888654
171219519003,217,28,32,33,24,43.278170016764804,58.93216439263028
171219520001,335,59,45,70,30,91.54780172128658,106.3296760081587
171219520002,264,14,14,17,22,22.02271554554524,34.132096331752024
171219520003,219,17,25,18,38,24.758836806279895,51.78802950489621
171219520004,276,38,31,13,55,40.162171256046406,74.82646590612174
171219521001,146,12,40,12,10,16.97056274847714,44.58699361921591
171219521002,237,41,37,12,34,42.720018726587654,65.95452979136459
171219521003,326,62,49,29,84,68.4470598345904,118.92014127135907
171219522001,149,17,22,23,21,28.600699292150182,41.7492514902962
171219522002,224,33,43,31,30,45.27692569068709,69.27481504847198
171219522003,251,35,20,41,34,53.907327887774215,66.79820356865893
171219522004,187,60,35,22,34,63.90618123468183,80.40522371090077
171219523001,179,37,9,33,16,49.57822102496216,52.86775955154521
171219523002,207,19,39,57,25,60.08327554319921,75.86830695356264
171219523003,331,6,21,18,12,18.973665961010276,30.740852297878796
171219523004,138,12,27,8,12,14.422205101855956,32.87856444554719
171219524001,448,11,12,118,26,118.51160280748886,121.92210628101861
171219524002,329,25,152,57,59,62.24146527838174,174.52506983238825
